Exp,Num,Env,mean_ter,var_ter,mean_step,var_step
1.a.1,0,Sparse,None,None,None,None
1.a.1,1,Sparse,100,None,None,None
1.a.1,2,Sparse,10000,None,None,None
1.a.1,3,Sparse,1000000,None,None,None
1.a.2,0,Sparse,None,None,None,None
1.a.2,1,Sparse,None,None,1,None
1.a.2,2,Sparse,None,None,10,None
1.a.2,3,Sparse,10000,None,10,None
1.b.1,0,Semisparse,None,None,None,None
1.b.1,1,Semisparse,10000,None,None,None
1.b.1,2,Semisparse,None,None,1,None
1.b.1,3,Semisparse,10000,None,1,None
1.c.1,0,Dense,None,None,None,None
1.c.1,1,Dense,10000,None,None,None
1.c.1,2,Dense,None,None,1,None
1.c.1,3,Dense,10000,None,1,None
2.a.1,0,Sparse,None,None,None,None
2.a.2.a,0,Sparse,10 000,None,None,None
2.a.2.b,0,Sparse,10 000,250 000,None,None
2.a.3.a,0,Sparse,None,None,1,None
2.a.3.b,0,Sparse ,None,None,1,0.6
2.a.4.a,0,Sparse,None,None,10,None
2.a.4.b,0,Sparse,None,None,10,60
2.a.5.a,0,Sparse,10 000,None,10,None
2.a.5.b,0,Sparse,10 000,250 000,10,60
2.b.1,0,Semisparse,None,None,None,None
2.b.2.a,0,Semisparse,10 000,None,None,None
2.b.2.b,0,Semisparse,10 000,250 000,None,None
2.b.3.a,0,Semisparse,None,None,10,None
2.b.3.b,0,Semisparse,None,None,10,60
2.b.4.a,0,Semisparse,10 000,None,10,None
2.b.4.b,0,Semisparse,10 000,250 000,10,60
2.c.1,0,Dense,None,None,None,None
2.c.2.a,0,Dense,10 000,None,None,None
2.c.2.b,0,Dense,10 000,250 000,None,None
2.c.3.a,0,Dense,None,None,100,None
2.c.3.b,0,Dense,None,None,100,6000
2.c.4.a,0,Dense,10 000,None,100,None
2.c.4.b,0,Dense,10 000,None,100,6000
